case_id,head_start,head_end,tail_start,tail_end,head_text,tail_text,proposed_relation,gold_relation,gold_assertion,is_relation
PMC10488652_01,46,61,82,91,medical history,emergency,HAS_DIAGNOSIS,,,0
PMC10488652_01,82,91,190,208,emergency,intermittent fever,HAS_FINDING,,,0
PMC10488652_01,190,208,215,219,intermittent fever,39 C,TREATED_WITH,,,0
PMC10488652_01,215,219,229,236,39 C,malaise,HAS_SYMPTOM,,,0
PMC10488652_01,229,236,238,246,malaise,headache,COORDINATE_WITH,COORDINATE_WITH,affirmed,1
PMC10488652_01,238,246,248,255,headache,myalgia,COORDINATE_WITH,COORDINATE_WITH,affirmed,1
PMC10488652_01,248,255,278,282,myalgia,rash,HAS_DIAGNOSIS,COORDINATE_WITH,affirmed,1
PMC10488652_01,278,282,292,300,rash,diarrhea,HAS_SYMPTOM,COORDINATE_WITH,affirmed,1
PMC10488652_01,292,300,317,323,diarrhea,emesis,HAS_SYMPTOM,COORDINATE_WITH,affirmed,1
PMC10488652_01,371,377,379,386,pallor,icteric,COORDINATE_WITH,,,0
PMC10488652_01,379,386,425,437,icteric,adenopathies,HAS_DIAGNOSIS,,,0
PMC10488652_01,425,437,439,448,adenopathies,synovitis,COORDINATE_WITH,COORDINATE_WITH,affirmed,1
PMC10488652_01,439,448,503,508,synovitis,edema,HAS_DIAGNOSIS,COORDINATE_WITH,affirmed,1
PMC10488652_01,503,508,516,527,edema,lower limbs,LOCATED_IN,LOCATED_IN,affirmed,1
PMC10488652_01,-1,-1,617,626,PATIENT,neoplasia,HAS_DIAGNOSIS,,,0
PMC10488652_01,617,626,632,641,neoplasia,ruled out,HAS_FINDING,,,0
PMC10488652_01,675,678,684,687,SLE,met,HAS_FINDING,,,0
PMC10488652_01,726,739,783,794,kidney biopsy,proteinuria,HAS_FINDING,,,0
PMC10488652_01,783,794,822,830,proteinuria,class II,HAS_DIAGNOSIS,,,0
PMC10488652_01,822,830,841,856,class II,lupus nephritis,HAS_DIAGNOSIS,,,0
PMC10488652_01,942,963,861,888,cold agglutinin titer,Autoimmune hemolytic anemia,REVEALED_BY,REVEALED_BY,affirmed,1
PMC10488652_01,1114,1117,1134,1143,IgG,diagnosis,REVEALED_BY,,,0
PMC10488652_01,942,963,973,981,cold agglutinin titer,dilution,REVEALED_BY,,,0
PMC10488652_01,973,981,1017,1027,dilution,hematocrit,REVEALED_BY,,,0
PMC10488652_01,1017,1027,1114,1117,hematocrit,IgG,REVEALED_BY,,,0
PMC10488652_01,1134,1143,1147,1151,diagnosis,cold,HAS_DIAGNOSIS,,,0
PMC10488652_01,1147,1151,1163,1171,cold,syndrome,HAS_DIAGNOSIS,,,0
PMC10488652_01,-1,-1,1292,1304,PATIENT,pancytopenia,HAS_DIAGNOSIS,HAS_FINDING,affirmed,1
PMC10488652_01,1306,1315,1335,1348,Treatment,dexamethasone,TREATED_WITH,TREATED_WITH,affirmed,1
PMC10488652_01,1335,1348,1403,1421,dexamethasone,hydroxychloroquine,TREATED_WITH,COORDINATE_WITH,affirmed,1
PMC10488652_01,-1,-1,1612,1617,PATIENT,I did,HAS_FINDING,,,0
PMC10488652_01,-1,-1,1727,1736,PATIENT,treatment,TREATED_WITH,,,0
PMC10488652_01,-1,-1,1742,1752,PATIENT,prednisone,TREATED_WITH,TREATED_WITH,affirmed,1
PMC10488652_01,1727,1736,1742,1752,treatment,prednisone,COORDINATE_WITH,,,0
PMC10488652_01,1742,1752,1785,1803,prednisone,hydroxychloroquine,TREATED_WITH,COORDINATE_WITH,affirmed,1
PMC10488652_01,1785,1803,1841,1862,hydroxychloroquine,mycophenolate mofetil,TREATED_WITH,COORDINATE_WITH,affirmed,1
PMC10488652_01,-1,-1,2006,2015,PATIENT,follow-up,HAS_FINDING,,,0
PMC10488652_01,-1,-1,2093,2103,PATIENT,procedures,TREATED_WITH,,,0
PMC10488652_01,-1,-1,2298,2309,PATIENT,consent was,HAS_FINDING,,,0
PMC2700431_01,-1,-1,72,81,PATIENT,emergency,HAS_DIAGNOSIS,,,0
PMC2700431_01,72,81,95,111,emergency,traffic accident,HAS_DIAGNOSIS,,,0
PMC2700431_01,95,111,133,150,traffic accident,multiple injuries,HAS_DIAGNOSIS,CAUSED_BY,affirmed,1
PMC2700431_01,161,172,174,194,drug addict,"alcoholic, hepatitis",HAS_DIAGNOSIS,,,0
PMC2700431_01,-1,-1,234,240,PATIENT,airway,LOCATED_IN,,,0
PMC2700431_01,300,317,342,353,cervical vertebra,spinal cord,LOCATED_IN,,,0
PMC2700431_01,461,466,484,491,chest,rupture,HAS_DIAGNOSIS,,,0
PMC2700431_01,283,291,300,317,fracture,cervical vertebra,LOCATED_IN,LOCATED_IN,affirmed,1
PMC2700431_01,342,353,382,390,spinal cord,fracture,HAS_DIAGNOSIS,,,0
PMC2700431_01,382,390,391,398,fracture,"4, 5, 6",HAS_FINDING,,,0
PMC2700431_01,391,398,399,403,"4, 5, 6",ribs,LOCATED_IN,,,0
PMC2700431_01,399,403,437,449,ribs,pneumothorax,HAS_DIAGNOSIS,,,0
