head_cui,tail_cui,rela,relation,sab
C0000727,C0000726,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0000731,C0000726,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0000737,C0000726,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0232498,C0000726,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0234246,C0000726,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0243001,C0000726,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0277974,C0000726,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0277978,C0000726,has_finding_site,LOCATED_IN,SNOMEDCT_US
C1112209,C0000726,has_finding_site,LOCATED_IN,SNOMEDCT_US
C5980104,C0000726,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0019360,C0001367,may_be_treated_by,TREATED_WITH,MED-RT
C0001418,C0045010,may_treat,TREATED_WITH,MED-RT
C0001623,C0001625,finding_site_of,LOCATED_IN,SNOMEDCT_US
C0001623,C0010137,may_treat,TREATED_WITH,MED-RT
C0001623,C0011185,may_treat,TREATED_WITH,MED-RT
C0001623,C0020268,may_treat,TREATED_WITH,MED-RT
C0001623,C0025815,may_treat,TREATED_WITH,MED-RT
C0001623,C0032950,may_treat,TREATED_WITH,MED-RT
C0001623,C0032952,may_treat,TREATED_WITH,MED-RT
C0001627,C0020268,may_treat,TREATED_WITH,MED-RT
C0035435,C0001655,may_be_treated_by,TREATED_WITH,MED-RT
C0002880,C0010583,may_treat,TREATED_WITH,MED-RT
C0002880,C0032952,may_treat,TREATED_WITH,MED-RT
C0002880,C0085297,may_treat,TREATED_WITH,MED-RT
C0003241,C0002880,causative_agent_of,CAUSED_BY,SNOMEDCT_US
C0002962,C0017887,may_treat,TREATED_WITH,MED-RT
C0002962,C0018787,finding_site_of,LOCATED_IN,SNOMEDCT_US
C0002962,C0817096,finding_site_of,LOCATED_IN,SNOMEDCT_US
C0003486,C0003483,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0003504,C0003501,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0003615,C0003617,finding_site_of,LOCATED_IN,SNOMEDCT_US
C0085693,C0003617,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0040021,C0003842,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0004096,C0010137,may_treat,TREATED_WITH,MED-RT
C0004096,C0025815,may_treat,TREATED_WITH,MED-RT
C0004096,C0032950,may_treat,TREATED_WITH,MED-RT
C0004096,C0032952,may_treat,TREATED_WITH,MED-RT
C0004096,C0458827,finding_site_of,LOCATED_IN,SNOMEDCT_US
C0004144,C0024109,finding_site_of,LOCATED_IN,SNOMEDCT_US
C0004238,C0012373,may_treat,TREATED_WITH,MED-RT
C0004238,C0043031,may_treat,TREATED_WITH,MED-RT
C0004238,C0700579,may_treat,TREATED_WITH,MED-RT
C0024141,C0004482,may_be_treated_by,TREATED_WITH,MED-RT
C0008370,C0005400,has_finding_site,LOCATED_IN,SCTSPA
C0005684,C0005682,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0007570,C0021853,finding_site_of,LOCATED_IN,SNOMEDCT_US
C0007785,C0019134,may_treat,TREATED_WITH,MED-RT
C0008031,C0817096,finding_site_of,LOCATED_IN,SNOMEDCT_US
C0008370,C0023884,finding_site_of,LOCATED_IN,SNOMEDCT_US
C0011991,C0008809,may_be_treated_by,TREATED_WITH,MED-RT
C0015967,C0008809,may_be_treated_by,TREATED_WITH,MED-RT
C1112209,C0008809,may_be_treated_by,TREATED_WITH,MED-RT
C0009319,C0009368,finding_site_of,LOCATED_IN,SNOMEDCT_US
C0162529,C0009368,has_finding_site,LOCATED_IN,SNOMEDCT_US
C0009806,C0021853,finding_site_of,LOCATED_IN,SNOMEDCT_US
C0024141,C0010137,may_be_treated_by,TREATED_WITH,MED-RT
C0035435,C0010137,may_be_treated_by,TREATED_WITH,MED-RT
C0041327,C0010137,may_be_treated_by,TREATED_WITH,MED-RT
C0024143,C0010583,may_be_treated_by,TREATED_WITH,MED-RT
C0035435,C0010583,may_be_treated_by,TREATED_WITH,MED-RT
C0024141,C0010592,may_be_treated_by,TREATED_WITH,MED-RT
C0013227,C0011609,causative_agent_of,CAUSED_BY,SCTSPA
C0024141,C0011777,may_be_treated_by,TREATED_WITH,MED-RT
