case_id,article_id,start,end,surface_text,is_range,value,range_low,range_high,unit,unit_norm,unit_category,linked_entity_start,linked_entity_end,linked_entity_surface,linked_entity_type,link_method,linked_entity_cui,linked_entity_id
PMC10106591_01,PMC10106591,236,243,2 weeks,False,2,,,weeks,weeks,time,212,222,chest pain,Symptom,same_sentence,C0008031,concept:C0008031
PMC10106591_01,PMC10106591,624,631,7 years,False,7,,,years,years,time,607,619,hypertension,Diagnosis,same_sentence,C0020538,concept:C0020538
PMC10106591_01,PMC10106591,686,692,150 mg,False,150,,,mg,mg,mass,655,672,antihypertensives,Treatment,same_sentence,C0003364,concept:C0003364
PMC10106591_01,PMC10106591,909,916,51 mmHg,False,51,,,mmHg,mmhg,pressure,890,904,blood pressure,Finding,same_sentence,C1271104,concept:C1271104
PMC10106591_01,PMC10106591,918,922,1 mm,False,1,,,mm,mm,length,890,904,blood pressure,Finding,same_sentence,C1271104,concept:C1271104
PMC10106591_01,PMC10106591,1027,1030,99%,False,99,,,%,%,percentage,1000,1006,oxygen,Treatment,same_sentence,C0030054,concept:C0030054
PMC10106591_01,PMC10106591,1619,1622,50%,False,50,,,%,%,percentage,1583,1612,ventricular ejection fraction,Exam,same_sentence,C0042508,concept:C0042508
PMC10106591_01,PMC10106591,1638,1641,55%,False,55,,,%,%,percentage,1583,1612,ventricular ejection fraction,Exam,same_sentence,C0042508,concept:C0042508
PMC10106591_01,PMC10106591,1642,1645,75%,False,75,,,%,%,percentage,1583,1612,ventricular ejection fraction,Exam,same_sentence,C0042508,concept:C0042508
PMC10106591_01,PMC10106591,1714,1725,0.016 ng/mL,False,0.016,,,ng/mL,ng/ml,lab_concentration,1583,1612,ventricular ejection fraction,Exam,window_fallback,C0042508,concept:C0042508
PMC10106591_01,PMC10106591,1741,1753,0-0.04 ng/mL,True,,0,0.04,ng/mL,ng/ml,lab_concentration,1583,1612,ventricular ejection fraction,Exam,window_fallback,C0042508,concept:C0042508
PMC10106591_01,PMC10106591,1788,1797,0.7 ng/mL,False,0.7,,,ng/mL,ng/ml,lab_concentration,,,,,none,,
PMC10106591_01,PMC10106591,1813,1824,0-5.0 ng/mL,True,,0,5.0,ng/mL,ng/ml,lab_concentration,,,,,none,,
PMC10106591_01,PMC10106591,1844,1854,14.1 ng/mL,False,14.1,,,ng/mL,ng/ml,lab_concentration,,,,,none,,
PMC10106591_01,PMC10106591,1870,1882,0-70.0 ng/mL,True,,0,70.0,ng/mL,ng/ml,lab_concentration,,,,,none,,
PMC10106591_01,PMC10106591,1975,1981,300 mg,False,300,,,mg,mg,mass,1898,1926,acute coronary syndrome (ACS,Diagnosis,same_sentence,C0948089,concept:C0948089
